param:       W           C    :=
 5 17    25303.   578.3286
 5 18     6031.   512.3965
 5 19     1041.   1570.725
 5 20     4128.   255.6551
 5 21     5452.   307.3289
 5 22     3344.   2036.128
 5 23     1067.   1967.256
 5 24     4608.    775.239
 5 25     7050.   399.2253
 6  1     6194.   559.7673
 6  2     5576.   312.8831
 6  3    14121.   556.0706
 6  4    35119.   311.3071
 6  5     7284.   225.8954
 6  6        0.          0
 6  7     5023.   1009.689
 6  8     3512.   1216.868
 6  9    10419.    94.2588
 6 10     3543.   1104.574
 6 11     2752.   694.9153
 6 12    14412.   2047.122
 6 13     2043.    627.115
 6 14    15642.     1084.5
 6 15     5014.   626.1548
 6 16     2016.   922.3181
 6 17    62034.   409.3542
 6 18    15385.   365.6853
 6 19     2957.   1743.432
 6 20     5035.   104.6478
 6 21     7482.   491.1125
 6 22     6758.   2164.855
 6 23     2191.   2027.319
 6 24     6599.    933.196
 6 25    14181.   298.8486
 7  1    11688.   709.0215
 7  2     3878.   1196.489
 7  3     5951.   1541.273
 7  4    21423.   790.1213
 7  5     3102.   794.1726
 7  6     5023.   1009.689
 7  7        0.          0
 7  8    11557.   663.8762
 7  9     6479.   982.7378
 7 10    34261.    221.422
 7 11    10134.   447.8044
 7 12    27350.   1249.763
 7 13     6929.   411.1133
 7 14     7961.   1097.608
 7 15     4678.   851.8228
 7 16    13511.   423.7053
 7 17    29801.   1362.874
 7 18     7549.   1288.966
 7 19     5550.   895.0908
 7 20     3089.   1049.266
 7 21     9958.   537.6206
 7 22    14110.   1493.843
 7 23     4911.   1686.675
 7 24     2722.   912.2104
 7 25    10802.   1161.676
 8  1     2243.   1208.328
 8  2     3202.    1502.14
 8  3     5768.   1764.791
 8  4    27342.   907.4331
 8  5     1562.   1080.374
 8  6     3512.   1216.868
 8  7    11557.   663.8762
 8  8        0.          0
 8  9     5615.   1143.791
 8 10     7095.   874.5181
 8 11    10753.   551.6299
 8 12    30362.    841.624
 8 13     1783.   880.0728
 8 14     3437.   1714.651
 8 15     8897.   694.0088
 8 16     2509.   1066.563
 8 17    23273.    1625.87
 8 18     5160.   1574.822
 8 19     8750.   593.4216
 8 20     2583.   1301.511
 8 21     7288.   780.9512
 8 22    17481.    955.802
 8 23     7930.   1024.566
 8 24     1278.   1519.174
 8 25     8447.   1475.479
 9  1     8857.   603.6477
 9  2     6699.   405.8975
 9  3    16578.   621.3306
 9  4    51341.   237.0703
 9  5     7180.    238.944
 9  6    10419.    94.2588
 9  7     6479.   982.7378
 9  8     5615.   1143.791
 9  9        0.          0
 9 10     4448.   1094.906
 9 11     5076.   636.9045
 9 12    22463.   1978.943
 9 13     4783.    620.488
 9 14    24609.   1151.868
 9 15     9969.   535.0244
 9 16     4224.   936.2502
 9 17    79945.   489.5645
 9 18    20001.   453.2583
 9 19     4291.   1682.489
 9 20    10604.   198.9058
 9 21    11925.   450.2585
 9 22    13091.   2086.845
 9 23     4172.   1936.304
 9 24    12891.   992.3379
 9 25    19500.   392.9045
10  1     7248.    695.208
10  2     4198.   1241.961
10  3     4242.   1603.165
10  4    15826.   932.2173
10  5     1917.   879.5647
10  6     3543.   1104.574
10  7    34261.    221.422
10  8     7095.   874.5181
10  9     4448.   1094.906
10 10        0.          0
10 11     4370.   642.2092
10 12    17267.   1375.635
10 13     3929.    477.459
10 14     8602.   963.7202
10 15     2753.   1046.119
10 16    20013.   305.3132
10 17    28080.   1417.072
10 18     5971.   1337.648
10 19     2131.   1017.332
10 20     3579.   1125.041
10 21     6809.   677.0608
10 22     8455.   1649.619
10 23     2868.   1891.166
10 24     2336.   795.2136
10 25     5616.   1205.747
11  1     3559.    680.709
11  2     2454.   960.3459
11  3     3365.   1250.962
11  4    28537.   406.3386
11  5     2253.    533.156
11  6     2752.   694.9153
11  7    10134.   447.8044
11  8    10753.   551.6299
11  9     5076.   636.9045
11 10     4370.   642.2092
11 11        0.          0
11 12    15287.   1358.213
11 13     3083.   378.5906
11 14     4092.   1236.192
11 15     7701.   405.0906
11 16     2809.    674.479
11 17    17291.   1096.712
11 18     4462.   1038.645
11 19     3239.   1048.539
11 20     2309.   768.1641
11 21    16003.   229.4867
11 22     8381.   1506.451
11 23     3033.   1503.794
11 24     1755.   1038.624
11 25     7266.   931.7148
12  1     9221.   1936.572
12  2     7975.   2318.076
12  3    22254.   2600.078
12  4    65387.   1741.873
12  5     5951.   1889.528
12  6    14412.   2047.122
12  7    27350.   1249.763
12  8    30362.    841.624
12  9    22463.   1978.943
12 10    17267.   1375.635
12 11    15287.   1358.213
12 12        0.          0
12 13     5454.   1608.082
12 14    15011.   2335.816
12 15    17714.    1530.57
12 16    10037.   1661.778
12 17   105507.   2453.352
12 18    20040.   2396.794
12 19    31780.   358.3762
12 20    10822.   2125.512
12 21    16450.   1582.369
12 22    92083.   361.5388
12 23    32908.   986.8149
12 24     3865.   2157.517
12 25    24583.   2288.748
13  1    10099.   332.4644
13  2     1186.   786.5959
13  3     1841.   1137.335
13  4    12980.   485.5564
13  5     1890.   402.3291
13  6     2043.    627.115
13  7     6929.   411.1133
13  8     1783.   880.0728
13  9     4783.    620.488
13 10     3929.    477.459
13 11     3083.   378.5906
13 12     5454.   1608.082
13 13        0.          0
13 14     3251.    858.251
13 15     1126.   700.8213
13 16     5926.   348.2725
13 17    10653.   955.6191
13 18     3062.   879.9795
13 19      759.   1265.573
13 20     1255.   651.1179
13 21     6173.   254.9977
13 22     2974.    1808.52
13 23     1056.   1872.696
13 24     1504.   660.5173
13 25     4588.   751.4614
14  1    22866.   592.5679
14  2     7443.   949.5669
14  3    23665.   1266.851
14  4    44097.   1186.858
14  5     7097.   947.3188
14  6    15642.     1084.5
14  7     7961.   1097.608
14  8     3437.   1714.651
14  9    24609.   1151.868
14 10     8602.   963.7202
14 11     4092.   1236.192
14 12    15011.   2335.816
14 13     3251.    858.251
14 14        0.          0
14 15     5550.   1500.774
14 16     9473.   675.7505
14 17   169397.   1098.282
14 18    25073.   1021.611
14 19     1170.   1977.613
14 20    14272.   1015.165
14 21     8543.   1065.599
14 22     8064.   2591.447
14 23     1840.    2725.79
14 24    20618.   197.8015
14 25    20937.   923.2229
15  1     3388.   908.7715
15  2     1162.   938.7461
15  3     6517.   1124.778
15  4    51525.   345.8738
15  5     2009.    598.541
15  6     5014.   626.1548
15  7     4678.   851.8228
15  8     8897.   694.0088
15  9     9969.   535.0244
15 10     2753.   1046.119
15 11     7701.   405.0906
15 12    17714.    1530.57
15 13    1126.    700.8213
15 14     5550.   1500.774
15 15        0.          0
15 16     2152.    1039.77
15 17    26816.   1018.399
15 18     6931.   987.8645
15 19     4947.   1280.737
15 20     2676.   728.3743
15 21     8033.   450.3982
15 22    12692.   1589.835
15 23     6157.   1401.321
15 24     3065.    1311.21
15 25    12044.   922.3145
16  1     9986.   426.1877
16  2     5105.   999.5005
16  3     3541.   1368.267
16  4    14354.   830.3635
16  5     1340.   700.4368
16  6     2016.   922.3181
16  7    13511.   423.7053
16  8     2509.   1066.563
16  9     4224.   936.2502
16 10    20013.   305.3132
16 11     2809.    674.479
16 12    10037.   1661.778
16 13     5926.   348.2725
16 14     9473.   675.7505
16 15     2152.    1039.77
16 16        0.          0
16 17    21806.   1178.439
16 18     4519.   1095.657
16 19      886.   1304.043
16 20     1742.   918.5615
16 21     4782.   601.9917
16 22     6453.   1916.578
16 23     2022.   2090.089
16 24     3546.   496.4224
16 25     5065.   963.0435
17  1    46618.   756.1987
17  2    24817.   179.2426
17  3   205088.   190.3157
17  4   172895.   720.4687
17  5    25303.   578.3286
17  6    62034.   409.3542
17  7    29801.   1362.874
17  8    23273.    1625.87
17  9    79945.   489.5645
17 10    28080.   1417.072
17 11    17291.   1096.712
17 12   105507.   2453.352
17 13    10653.   955.6191
17 14   169397.   1098.282
17 15    26816.   1018.399
17 16    21806.   1178.439
17 17        0.          0
17 18     9040.    84.3365
17 19    11139.   2143.565
17 20    63153.   328.7515
17 21    34092.   880.5469
17 22    70935.   2574.082
17 23    14957.   2415.489
17 24    28398.     1008.2
17 25   166694.    215.561
18  1    11639.   672.5906
18  2     6532.    96.2744
18  3    37669.   274.3105
18  4    37305.   675.3437
18  5     6031.   512.3965
18  6    15385.   365.6853
18  7     7549.   1288.966
18  8     5160.   1574.822
18  9    20001.   453.2583
18 10     5971.   1337.648
18 11     4462.   1038.645
18 12    20040.   2396.794
18 13     3062.   879.9795
18 14    25073.   1021.611
18 15     6931.   987.8645
18 16     4519.   1095.657
18 17     9040.    84.3365
18 18        0.          0
18 19     2802.   2082.316
18 20    30224.   273.4106
18 21     7982.   818.1228
18 22    14964.   2526.562
18 23     4589.   2388.689
18 24     6227.   926.6267
18 25    12359.   132.7684
19  1     1380.   1590.224
19  2      806.   1999.584
19  3     2885.   2299.429
19  4    15418.   1447.104
19  5     1041.   1570.725
19  6     2957.   1743.432
19  7     5550.   895.0908
19  8     8750.   593.4216
19  9     4291.   1682.489
19 10     2131.   1017.332
19 11     3239.   1048.539
19 12    31780.   358.3762
19 13      759.   1265.573
19 14     1170.   1977.613
19 15     4947.   1280.737
19 16      886.   1304.043
19 17    11139.   2143.565
19 18     2802.   2082.316
19 19        0.          0
19 20     1869.    1814.83
19 21     3716.   1264.193
19 22    11510.   661.6543
19 23     3519.   1129.327
19 24      569.   1800.098
19 25     3520.   1968.689
20  1     5261.   527.3008
20  2     8184.   210.7656
20  3    13200.   494.2224
20  4    26221.   403.8657
20  5     4128.   255.6551
20  6     5035.   104.6478
20  7     3089.   1049.266
20  8     2583.   1301.511
20  9    10604.   198.9058
20 10     3579.   1125.041
20 11     2309.   768.1641
20 12    10822.   2125.512
20 13     1255.   651.1179
20 14    14272.   1015.165
20 15     2676.   728.3743
20 16     1742.   918.5615
20 17    63153.   328.7515
20 18    30224.   273.4106
20 19     1869.    1814.83
20 20        0.          0
20 21     5020.   552.4229
20 22     6610.   2253.211
20 23     2139.   2128.828
20 24     5431.   875.2542
20 25    13541.   194.5945
21  1     5985.   483.4673
21  2     3896.   736.3755
21  3     7116.   1043.484
21  4    42303.   255.8823
21  5     5452.   307.3289
21  6     7482.   491.1125
21  7     9958.   537.6206
21  8     7288.   780.9512
21  9    11925.   450.2585
21 10     6809.   677.0608
21 11    16003.   229.4867
21 12    16450.   1582.369
21 13     6173.   254.9977
21 14     8543.   1065.599
21 15     8033.   450.3982
21 16     4782.   601.9917
21 17    34092.   880.5469
21 18     7982.   818.1228
21 19     3716.   1264.193
21 20     5020.   552.4229
21 21        0.          0
21 22     9942.   1735.937
21 23     3276.   1712.136
21 24     3820.   871.6396
21 25    11799.   706.5024
22  1     6731.   2140.978
22  2     7333.   2456.263
22  3    17165.   2703.402
22  4    35303.   1853.617
22  5     3344.   2036.128
22  6     6758.   2164.855
22  7    14110.   1493.843
22  8    17481.    955.802
22  9    13091.   2086.845
22 10     8455.   1649.619
22 11     8381.   1506.451
22 12    92083.   361.5388
22 13     2974.    1808.52
22 14     8064.   2591.447
22 15    12692.   1589.835
22 16     6453.   1916.578
22 17    70935.   2574.082
22 18    14964.   2526.562
22 19    11510.   661.6543
22 20     6610.   2253.211
22 21     9942.   1735.937
22 22        0.          0
22 23    35285.   694.9363
22 24     2566.   2404.839
22 25    19926.   2430.269
23  1     2704.   2184.402
23  2     3719.   2339.509
23  3     4284.   2503.828
23  4    13618.   1733.132
23  5     1067.   1967.256
23  6     2191.   2027.319
23  7     4911.   1686.675
23  8     7930.   1024.566
23  9     4172.   1936.304
23 10     2868.   1891.166
23 11     3033.   1503.794
23 12    32908.   986.8149
23 13     1056.   1872.696
23 14     1840.    2725.79
23 15     6157.   1401.321
23 16     2022.   2090.089
23 17    14957.   2415.489
23 18     4589.   2388.689
23 19     3519.   1129.327
23 20     2139.   2128.828
23 21     3276.   1712.136
23 22    35285.   694.9363
23 23        0.          0
23 24      940.   2528.479
23 25     4951.   2321.873
24  1    12250.   408.1648
24  2     2015.   844.1663
24  3     8085.   1188.549
24  4    17580.   1005.761
24  5     4608.    775.239
24  6     6599.    933.196
24  7     2722.   912.2104
24  8     1278.   1519.174
24  9    12891.   992.3379
24 10     2336.   795.2136
24 11     1755.   1038.624
24 12     3865.   2157.517
24 13     1504.   660.5173
24 14    20618.   197.8015
24 15     3065.    1311.21
24 16     3546.   496.4224
24 17    28398.     1008.2
24 18     6227.   926.6267
24 19      569.   1800.098
24 20     5431.   875.2542
24 21     3820.   871.6396
24 22     2566.   2404.839
24 23      940.   2528.479
24 24        0.          0
24 25     6237.   813.5513
25  1    16132.   540.7388
25  2      565.    36.4947
25  3    51895.   405.7886
25  4    40708.   592.0278
25  5     7050.   399.2253
25  6    14181.   298.8486
25  7    10802.   1161.676
25  8     8447.   1475.479
25  9    19500.   392.9045
25 10     5616.   1205.747
25 11     7266.   931.7148
25 12    24583.   2288.748
25 13     4588.   751.4614
25 14    20937.   923.2229
25 15    12044.   922.3145
25 16     5065.   963.0435
25 17   166694.    215.561
25 18    12359.   132.7684
25 19     3520.   1968.689
25 20    13541.   194.5945
25 21    11799.   706.5024
25 22    19926.   2430.269
25 23     4951.   2321.873
25 24     6237.   813.5513
25 25        0.          0;
