Running HiGHS 1.1.1 [date: , git hash: ]
Copyright (c) 2021 ERGO-Code under MIT licence terms
LP   qap04 has 104 rows; 88 cols; 416 nonzeros
ICrashOptions 
dualize: false
strategy: Penalty
starting_weight: 1.000000e-03
iterations: 200
approximate_minimization_iterations: 100
breakpoints: false

Iteration   0: objective 0.00 residual 8.00e+00
Iter   1, mu 0.001, c'x 4.60265e+92, res 3.40575e+183, quad_obj 1.70287e+186
Iter  99, mu 1e-101, c'x nan, res nan, quad_obj nan
Iter 100, mu 1e-102, c'x nan, res nan, quad_obj nan
Iter 101, mu 1e-103, c'x nan, res nan, quad_obj nan
Iter 102, mu 1e-104, c'x nan, res nan, quad_obj nan
Iter 103, mu 1e-105, c'x nan, res nan, quad_obj nan
Iter 104, mu 1e-106, c'x nan, res nan, quad_obj nan
Iter 105, mu 1e-107, c'x nan, res nan, quad_obj nan
Iter 106, mu 1e-108, c'x nan, res nan, quad_obj nan
Iter 107, mu 1e-109, c'x nan, res nan, quad_obj nan
Iter 108, mu 1e-110, c'x nan, res nan, quad_obj nan
Iter 109, mu 1e-111, c'x nan, res nan, quad_obj nan
Iter 110, mu 1e-112, c'x nan, res nan, quad_obj nan
Iter 111, mu 1e-113, c'x nan, res nan, quad_obj nan
Iter 112, mu 1e-114, c'x nan, res nan, quad_obj nan
Iter 113, mu 1e-115, c'x nan, res nan, quad_obj nan
Iter 114, mu 1e-116, c'x nan, res nan, quad_obj nan
Iter 115, mu 1e-117, c'x nan, res nan, quad_obj nan
Iter 116, mu 1e-118, c'x nan, res nan, quad_obj nan
Iter 117, mu 1e-119, c'x nan, res nan, quad_obj nan
Iter 118, mu 1e-120, c'x nan, res nan, quad_obj nan
Iter 119, mu 1e-121, c'x nan, res nan, quad_obj nan
Iter 120, mu 1e-122, c'x nan, res nan, quad_obj nan
Iter 121, mu 1e-123, c'x nan, res nan, quad_obj nan
Iter 122, mu 1e-124, c'x nan, res nan, quad_obj nan
Iter 123, mu 1e-125, c'x nan, res nan, quad_obj nan
Iter 124, mu 1e-126, c'x nan, res nan, quad_obj nan
Iter 125, mu 1e-127, c'x nan, res nan, quad_obj nan
Iter 126, mu 1e-128, c'x nan, res nan, quad_obj nan
Iter 127, mu 1e-129, c'x nan, res nan, quad_obj nan
Iter 128, mu 1e-130, c'x nan, res nan, quad_obj nan
Iter 129, mu 1e-131, c'x nan, res nan, quad_obj nan
Iter 130, mu 1e-132, c'x nan, res nan, quad_obj nan
Iter 131, mu 1e-133, c'x nan, res nan, quad_obj nan
Iter 132, mu 1e-134, c'x nan, res nan, quad_obj nan
Iter 133, mu 1e-135, c'x nan, res nan, quad_obj nan
Iter 134, mu 1e-136, c'x nan, res nan, quad_obj nan
Iter 135, mu 1e-137, c'x nan, res nan, quad_obj nan
Iter 136, mu 1e-138, c'x nan, res nan, quad_obj nan
Iter 137, mu 1e-139, c'x nan, res nan, quad_obj nan
Iter 138, mu 1e-140, c'x nan, res nan, quad_obj nan
Iter 139, mu 1e-141, c'x nan, res nan, quad_obj nan
Iter 140, mu 1e-142, c'x nan, res nan, quad_obj nan
Iter 141, mu 1e-143, c'x nan, res nan, quad_obj nan
Iter 142, mu 1e-144, c'x nan, res nan, quad_obj nan
Iter 143, mu 1e-145, c'x nan, res nan, quad_obj nan
Iter 144, mu 1e-146, c'x nan, res nan, quad_obj nan
Iter 145, mu 1e-147, c'x nan, res nan, quad_obj nan
Iter 146, mu 1e-148, c'x nan, res nan, quad_obj nan
Iter 147, mu 1e-149, c'x nan, res nan, quad_obj nan
Iter 148, mu 1e-150, c'x nan, res nan, quad_obj nan
Iter 149, mu 1e-151, c'x nan, res nan, quad_obj nan
Iter 150, mu 1e-152, c'x nan, res nan, quad_obj nan
Iter 151, mu 1e-153, c'x nan, res nan, quad_obj nan
Iter 152, mu 1e-154, c'x nan, res nan, quad_obj nan
Iter 153, mu 1e-155, c'x nan, res nan, quad_obj nan
Iter 154, mu 1e-156, c'x nan, res nan, quad_obj nan
Iter 155, mu 1e-157, c'x nan, res nan, quad_obj nan
Iter 156, mu 1e-158, c'x nan, res nan, quad_obj nan
Iter 157, mu 1e-159, c'x nan, res nan, quad_obj nan
Iter 158, mu 1e-160, c'x nan, res nan, quad_obj nan
Iter 159, mu 1e-161, c'x nan, res nan, quad_obj nan
Iter 160, mu 1e-162, c'x nan, res nan, quad_obj nan
Iter 161, mu 1e-163, c'x nan, res nan, quad_obj nan
Iter 162, mu 1e-164, c'x nan, res nan, quad_obj nan
Iter 163, mu 1e-165, c'x nan, res nan, quad_obj nan
Iter 164, mu 1e-166, c'x nan, res nan, quad_obj nan
Iter 165, mu 1e-167, c'x nan, res nan, quad_obj nan
Iter 166, mu 1e-168, c'x nan, res nan, quad_obj nan
Iter 167, mu 1e-169, c'x nan, res nan, quad_obj nan
Iter 168, mu 1e-170, c'x nan, res nan, quad_obj nan
Iter 169, mu 1e-171, c'x nan, res nan, quad_obj nan
Iter 170, mu 1e-172, c'x nan, res nan, quad_obj nan
Iter 171, mu 1e-173, c'x nan, res nan, quad_obj nan
Iter 172, mu 1e-174, c'x nan, res nan, quad_obj nan
Iter 173, mu 1e-175, c'x nan, res nan, quad_obj nan
Iter 174, mu 1e-176, c'x nan, res nan, quad_obj nan
Iter 175, mu 1e-177, c'x nan, res nan, quad_obj nan
Iter 176, mu 1e-178, c'x nan, res nan, quad_obj nan
Iter 177, mu 1e-179, c'x nan, res nan, quad_obj nan
Iter 178, mu 1e-180, c'x nan, res nan, quad_obj nan
Iter 179, mu 1e-181, c'x nan, res nan, quad_obj nan
Iter 180, mu 1e-182, c'x nan, res nan, quad_obj nan
Iter 181, mu 1e-183, c'x nan, res nan, quad_obj nan
Iter 182, mu 1e-184, c'x nan, res nan, quad_obj nan
Iter 183, mu 1e-185, c'x nan, res nan, quad_obj nan
Iter 184, mu 1e-186, c'x nan, res nan, quad_obj nan
Iter 185, mu 1e-187, c'x nan, res nan, quad_obj nan
Iter 186, mu 1e-188, c'x nan, res nan, quad_obj nan
Iter 187, mu 1e-189, c'x nan, res nan, quad_obj nan
Iter 188, mu 1e-190, c'x nan, res nan, quad_obj nan
Iter 189, mu 1e-191, c'x nan, res nan, quad_obj nan
Iter 190, mu 1e-192, c'x nan, res nan, quad_obj nan
Iter 191, mu 1e-193, c'x nan, res nan, quad_obj nan
Iter 192, mu 1e-194, c'x nan, res nan, quad_obj nan
Iter 193, mu 1e-195, c'x nan, res nan, quad_obj nan
Iter 194, mu 1e-196, c'x nan, res nan, quad_obj nan
Iter 195, mu 1e-197, c'x nan, res nan, quad_obj nan
Iter 196, mu 1e-198, c'x nan, res nan, quad_obj nan
Iter 197, mu 1e-199, c'x nan, res nan, quad_obj nan
Iter 198, mu 1e-200, c'x nan, res nan, quad_obj nan
Iter 199, mu 1e-201, c'x nan, res nan, quad_obj nan
Iter 200, mu 1e-202, c'x nan, res nan, quad_obj nan

ICrash finished successfully after: 0.565 sec.
Calling ipx crossover
Calling ipx crossoverCrossover basic solution >>>Solving LP without presolve or with basis
Using EKK primal simplex solver
  Iteration        Objective     Infeasibilities num(sum)
          0     5.0000004825e+01 Pr: 0(0); Du: 8(90) 53329s
         24     3.2000000000e+01 Pr: 0(0) 53329s
Model   status      : Optimal
Simplex   iterations: 24
Objective value     :  3.2000000000e+01
HiGHS run time      :      53329.83
